prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,6,384,287.841000
0,0,7,384,285.180000
0,0,8,384,288.970000
0,0,9,384,289.060000
0,0,10,384,283.850000
0,0,11,384,287.710000
0,0,12,384,287.200000
0,0,13,384,284.530000
0,0,14,384,289.150000
0,0,15,384,290.610000
0,0,16,384,293.070000
0,0,17,384,291.320000
0,0,18,384,287.200000
0,0,19,384,292.910000
0,0,20,384,288.470000
0,0,21,384,290.420000
0,0,22,384,287.440000
0,0,23,384,289.020000
0,0,24,384,288.120000
0,0,25,384,287.540000
0,0,26,384,294.520000
0,0,27,384,294.060000
0,0,28,384,289.200000
0,0,29,384,298.240000
0,0,30,384,288.879000
0,0,31,384,290.820000
0,0,32,384,294.990000
0,0,1,416,286.320000
0,0,2,416,285.800000
0,0,3,416,291.550000
0,0,4,416,289.510000
0,0,5,416,289.580000
0,0,6,416,290.880000
0,0,7,416,291.000000
0,0,8,416,287.430000
0,0,9,416,292.670000
0,0,10,416,290.820000
0,0,11,416,289.390000
0,0,12,416,291.060000
0,0,13,416,292.710000
0,0,14,416,292.280000
0,0,15,416,294.950000
0,0,16,416,288.200000
0,0,17,416,293.000000
0,0,18,416,289.880000
0,0,19,416,286.020000
0,0,20,416,288.990000
0,0,21,416,290.990000
0,0,22,416,290.200000
0,0,23,416,288.810000
0,0,24,416,287.630000
0,0,25,416,287.980000
0,0,26,416,290.640000
0,0,27,416,293.270000
0,0,28,416,295.730000
0,0,29,416,289.080000
0,0,30,416,296.850000
0,0,31,416,303.490000
0,0,32,416,303.470000
0,0,1,448,306.640000
0,0,2,448,299.180000
0,0,3,448,298.360000
0,0,4,448,311.420000
0,0,5,448,308.860000
0,0,6,448,307.430000
0,0,7,448,311.750000
0,0,8,448,310.000000
0,0,9,448,309.690000
0,0,10,448,286.040000
0,0,11,448,287.790000
0,0,12,448,286.530000
0,0,13,448,288.270000
0,0,14,448,288.860000
0,0,15,448,288.590000
0,0,16,448,288.130000
0,0,17,448,285.590000
0,0,18,448,282.660000
0,0,19,448,284.480000
0,0,20,448,288.890000
0,0,21,448,290.510000
0,0,22,448,287.810000
0,0,23,448,287.820000
0,0,24,448,288.360000
0,0,25,448,297.190000
0,0,26,448,306.220000
0,0,27,448,311.930000
0,0,28,448,310.400000
0,0,29,448,309.890000
0,0,30,448,308.470000
0,0,31,448,307.040000
0,0,32,448,288.830000
0,0,1,480,311.060000
0,0,2,480,311.660000
0,0,3,480,312.610000
0,0,4,480,309.730000
0,0,5,480,312.270000
0,0,6,480,314.660000
0,0,7,480,313.280000
0,0,8,480,314.620000
0,0,9,480,312.180000
0,0,10,480,314.590000
0,0,11,480,309.920000
0,0,12,480,312.310000
0,0,13,480,309.880000
0,0,14,480,317.780000
0,0,15,480,316.760000
0,0,16,480,317.360000
0,0,17,480,306.940000
0,0,18,480,311.790000
0,0,19,480,312.650000
0,0,20,480,314.090000
0,0,21,480,310.610000
0,0,22,480,312.400000
0,0,23,480,289.460000
0,0,24,480,283.740000
0,0,25,480,288.660000
0,0,26,480,307.560000
0,0,27,480,288.660000
0,0,28,480,309.200000
0,0,29,480,312.480000
0,0,30,480,286.520000
0,0,31,480,308.200000
0,0,32,480,303.690000
0,0,1,512,316.790000
0,0,2,512,282.520000
0,0,3,512,285.210000
0,0,4,512,287.630000
0,0,5,512,280.080000
0,0,6,512,283.000000
0,0,7,512,282.210000
0,0,8,512,287.540000
0,0,9,512,286.410000
0,0,10,512,282.180000
0,0,11,512,282.250000
0,0,12,512,303.800000
0,0,13,512,293.810000
0,0,14,512,295.910000
0,0,15,512,302.290000
0,0,16,512,304.470000
0,0,17,512,305.170000
0,0,18,512,295.620000
0,0,19,512,292.360000
0,0,20,512,299.020000
0,0,21,512,294.990000
0,0,22,512,297.390000
0,0,23,512,304.310000
0,0,24,512,294.100000
0,0,25,512,302.370000
0,0,26,512,301.880000
0,0,27,512,298.660000
0,0,28,512,297.280000
0,0,29,512,294.930000
0,0,30,512,296.850000
0,0,31,512,301.330000
0,0,32,512,295.340000
0,0,1,544,300.660000
0,0,2,544,295.160000
0,0,3,544,294.530000
0,0,4,544,300.220000
0,0,5,544,296.090000
0,0,6,544,296.650000
0,0,7,544,297.440000
0,0,8,544,289.500000
0,0,9,544,287.580000
0,0,10,544,289.550000
0,0,11,544,288.650000
0,0,12,544,288.030000
0,0,13,544,292.150000
0,0,14,544,285.780000
0,0,15,544,288.120000
0,0,16,544,290.710000
0,0,17,544,283.580000
