prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,96,23,False,297407,300350,312050,319009
0,96,24,False,300001,296720,319470,327480
0,96,25,False,297665,296880,318030,325060
0,96,26,False,296817,295470,317520,327530
0,96,27,False,299099,297900,321380,327000
0,96,28,False,300864,298910,322760,330430
0,96,29,False,300111,300160,320950,331610
0,96,30,False,295580,293360,309960,343730
0,96,31,False,299986,296950,316180,329090
0,96,32,False,296829,298270,315200,317860
0,128,1,False,297404,296110,318460,320590
0,128,2,False,299550,295980,322320,330610
0,128,3,False,295902,297090,312200,326960
0,128,4,False,299750,302490,313190,338430
0,128,5,False,295546,296380,311520,317750
0,128,6,False,299006,301920,309820,316240
0,128,7,False,296687,297990,316730,320100
0,128,8,False,294355,295380,310960,321720
0,128,9,False,297288,297980,314100,321430
0,128,10,False,297479,300740,312040,326480
0,128,11,False,298461,295700,318510,338210
0,128,12,False,297321,294630,323570,334240
0,128,13,False,293018,292050,308450,313720
0,128,14,False,295624,298630,311810,330490
0,128,15,False,302129,296270,323190,401240
0,128,16,False,296589,293290,314060,319450
0,128,17,False,295599,290210,316470,328070
0,128,18,False,298186,297899,316330,323120
0,128,19,False,295299,294450,316600,320840
0,128,20,False,298687,296170,319350,327740
0,128,21,False,295731,293880,318250,322920
0,128,22,False,296311,290020,316390,331980
0,128,23,False,298207,291370,322230,352830
0,128,24,False,299301,290240,329730,377160
0,128,25,False,298143,297680,320350,338370
0,128,26,False,295476,297830,310320,320200
0,128,27,False,302481,291960,334050,392110
0,128,28,False,297924,298670,316650,338380
0,128,29,False,297265,293670,317380,338190
0,128,30,False,298049,299750,314700,318120
0,128,31,False,304187,300550,330720,367810
0,128,32,False,297353,299220,313950,320540
0,160,1,False,294420,295900,310050,326790
0,160,2,False,295034,294910,308890,333380
0,160,3,False,295708,293690,315570,330160
0,160,4,False,299682,294910,312940,395740
0,160,5,False,299854,300370,318160,335610
0,160,6,False,296918,296490,315960,328220
0,160,7,False,297253,300820,313310,316250
0,160,8,False,302730,301180,323640,348550
0,160,9,False,299487,293080,325450,357380
0,160,10,False,297716,292420,323430,330850
0,160,11,False,299874,292140,332580,340360
0,160,12,False,296722,289980,321860,329790
0,160,13,False,299931,294340,327860,347170
0,160,14,False,298388,297730,319540,324100
0,160,15,False,299010,295920,320880,325610
0,160,16,False,300772,290440,339710,375360
0,160,17,False,300032,296520,322080,337560
0,160,18,False,301097,293880,324530,326700
0,160,19,False,306583,299500,333510,393640
0,160,20,False,297745,299000,313880,319410
0,160,21,False,298101,300520,316540,321750
0,160,22,False,298287,296810,318850,323270
0,160,23,False,296138,297520,315600,327620
