layer,tokens,time_us
gate_up_proj,3648,2400.536
act_fn,3648,1352.491
down_proj,3648,498.618
layernorm,3712,870.9380000000001
qkv_proj,3712,1661.516
rotary_emb,3712,533.889
o_proj,3712,465.667
gate_up_proj,3712,2378.836
act_fn,3712,1379.742
down_proj,3712,517.829
layernorm,3776,829.983
qkv_proj,3776,1998.8709999999999
rotary_emb,3776,585.969
o_proj,3776,594.399
gate_up_proj,3776,2736.6620000000003
act_fn,3776,1497.164
down_proj,3776,506.708
layernorm,3840,855.6885
qkv_proj,3840,1778.938
rotary_emb,3840,490.358
o_proj,3840,332.985
gate_up_proj,3840,2542.3900000000003
act_fn,3840,1384.472
down_proj,3840,515.119
layernorm,3904,896.359
qkv_proj,3904,1997.0110000000002
rotary_emb,3904,502.488
o_proj,3904,615.65
gate_up_proj,3904,2649.6130000000003
act_fn,3904,1537.164
down_proj,3904,537.208
layernorm,3968,906.729
qkv_proj,3968,1810.2389999999998
rotary_emb,3968,560.029
o_proj,3968,486.408
gate_up_proj,3968,2635.342
act_fn,3968,1567.954
down_proj,3968,566.879
layernorm,4032,903.979
qkv_proj,4032,1824.6599999999999
rotary_emb,4032,486.938
o_proj,4032,373.316
gate_up_proj,4032,2659.182
act_fn,4032,1458.153
down_proj,4032,553.939
layernorm,4096,896.154
qkv_proj,4096,1810.9279999999999
rotary_emb,4096,502.838
o_proj,4096,354.626
gate_up_proj,4096,2600.3109999999997
act_fn,4096,1460.853
down_proj,4096,560.509
layernorm,4160,938.2249999999999
qkv_proj,4160,1947.979
rotary_emb,4160,506.248
o_proj,4160,372.596
gate_up_proj,4160,2723.443
act_fn,4160,1512.644
down_proj,4160,561.799
layernorm,4224,884.1935
qkv_proj,4224,1909.989
rotary_emb,4224,437.027
o_proj,4224,443.997
gate_up_proj,4224,2731.871
act_fn,4224,1502.783
down_proj,4224,542.208
layernorm,4288,949.2845
qkv_proj,4288,2077.432
rotary_emb,4288,580.239
o_proj,4288,656.22
gate_up_proj,4288,2908.874
act_fn,4288,1637.375
down_proj,4288,561.859
layernorm,4352,952.2755
qkv_proj,4352,1875.0080000000003
rotary_emb,4352,508.308
o_proj,4352,367.546
gate_up_proj,4352,2728.553
act_fn,4352,1538.544
down_proj,4352,580.009
layernorm,4416,926.3844999999999
qkv_proj,4416,1968.88
rotary_emb,4416,489.118
o_proj,4416,430.087
gate_up_proj,4416,2900.286
act_fn,4416,1588.925
down_proj,4416,586.149
layernorm,4480,902.229
qkv_proj,4480,1938.741
rotary_emb,4480,443.287
o_proj,4480,357.766
gate_up_proj,4480,2820.7129999999997
act_fn,4480,1592.685
down_proj,4480,573.589
layernorm,4544,983.7405
qkv_proj,4544,2314.517
rotary_emb,4544,536.859
o_proj,4544,678.491
gate_up_proj,4544,3184.6189999999997
act_fn,4544,1742.997
down_proj,4544,587.88
layernorm,4608,969.345
qkv_proj,4608,2084.383
rotary_emb,4608,506.288
o_proj,4608,368.985
gate_up_proj,4608,2964.9759999999997
act_fn,4608,1620.915
down_proj,4608,605.699
layernorm,4672,806.0274999999999
qkv_proj,4672,2296.815
rotary_emb,4672,754.732
o_proj,4672,951.285
gate_up_proj,4672,3077.928
act_fn,4672,1761.448
down_proj,4672,587.379
layernorm,4736,1027.566
qkv_proj,4736,2004.7620000000002
rotary_emb,4736,785.192
o_proj,4736,513.978
gate_up_proj,4736,2985.807
act_fn,4736,1715.287
down_proj,4736,617.44
embedding,1,244.384
final_layernorm,1,311.524
embedding,64,238.314
final_layernorm,64,323.335
embedding,128,242.634
final_layernorm,128,312.385
embedding,192,247.064
final_layernorm,192,311.115
embedding,256,250.694
final_layernorm,256,325.545
embedding,320,247.674
final_layernorm,320,328.215
embedding,384,245.834
final_layernorm,384,314.295
embedding,448,247.804
final_layernorm,448,341.265
embedding,512,249.334
final_layernorm,512,320.695
embedding,576,248.334
final_layernorm,576,322.575
embedding,640,251.033
final_layernorm,640,333.705
embedding,704,248.544
final_layernorm,704,316.025
embedding,768,248.224
final_layernorm,768,324.095
embedding,832,259.384
final_layernorm,832,320.775
embedding,896,249.034
final_layernorm,896,326.305
embedding,960,243.984
final_layernorm,960,317.445
embedding,1024,246.483
final_layernorm,1024,319.735
embedding,1088,252.354
final_layernorm,1088,318.135
embedding,1152,244.693
final_layernorm,1152,320.866
embedding,1216,247.594
final_layernorm,1216,319.285
embedding,1280,247.694
final_layernorm,1280,321.215
embedding,1344,247.364
final_layernorm,1344,317.035
embedding,1408,246.754
final_layernorm,1408,322.925
embedding,1472,248.264
final_layernorm,1472,338.685
embedding,1536,250.224
final_layernorm,1536,327.146
embedding,1600,246.934
final_layernorm,1600,336.765
embedding,1664,252.104
final_layernorm,1664,324.215
embedding,1728,277.634
final_layernorm,1728,332.496
embedding,1792,279.694
final_layernorm,1792,329.856
embedding,1856,284.854
final_layernorm,1856,338.435
embedding,1920,281.154
final_layernorm,1920,354.405
embedding,1984,366.815
final_layernorm,1984,340.055
embedding,2048,372.076
final_layernorm,2048,338.235
embedding,2112,427.387
final_layernorm,2112,338.185
embedding,2176,399.416
final_layernorm,2176,345.305
embedding,2240,418.607
final_layernorm,2240,364.246
embedding,2304,420.317
final_layernorm,2304,374.096
embedding,2368,458.407
final_layernorm,2368,345.576
embedding,2432,449.527
final_layernorm,2432,371.256
embedding,2496,512.118
final_layernorm,2496,361.496
embedding,2560,491.977
final_layernorm,2560,349.106
embedding,2624,540.849
final_layernorm,2624,346.135
embedding,2688,525.299
final_layernorm,2688,346.975
embedding,2752,579.409
final_layernorm,2752,345.865
embedding,2816,569.429
final_layernorm,2816,352.626
embedding,2880,583.49
final_layernorm,2880,353.365
embedding,2944,582.029
final_layernorm,2944,350.576
embedding,3008,677.461
final_layernorm,3008,350.325
embedding,3072,680.891
final_layernorm,3072,352.036
embedding,3136,670.931
final_layernorm,3136,347.325
embedding,3200,640.73
final_layernorm,3200,348.345
embedding,3264,750.542
final_layernorm,3264,357.706
embedding,3328,732.852
final_layernorm,3328,355.926
embedding,3392,769.302
final_layernorm,3392,356.676
embedding,3456,774.872
final_layernorm,3456,357.786
embedding,3520,827.942
final_layernorm,3520,363.465
embedding,3584,834.173
final_layernorm,3584,362.375
embedding,3648,767.812
final_layernorm,3648,382.866
embedding,3712,778.042
final_layernorm,3712,335.065
embedding,3776,919.564
final_layernorm,3776,330.995
embedding,3840,913.984
final_layernorm,3840,340.765
embedding,3904,836.803
final_layernorm,3904,339.036
embedding,3968,822.713
final_layernorm,3968,347.135
embedding,4032,894.674
final_layernorm,4032,329.375
embedding,4096,886.374
final_layernorm,4096,325.585
embedding,4160,965.255
final_layernorm,4160,369.836
embedding,4224,950.465
final_layernorm,4224,378.386
embedding,4288,931.005
final_layernorm,4288,373.316
embedding,4352,889.414
final_layernorm,4352,379.276
embedding,4416,967.675
final_layernorm,4416,377.896
embedding,4480,950.125
final_layernorm,4480,404.107
embedding,4544,1118.847
final_layernorm,4544,385.626
embedding,4608,1092.307
final_layernorm,4608,397.786
embedding,4672,993.655
final_layernorm,4672,373.006
embedding,4736,981.515
final_layernorm,4736,396.056
layernorm,4800,1049.381
qkv_proj,4800,2042.8899999999999
rotary_emb,4800,630.159
o_proj,4800,397.756
gate_up_proj,4800,3103.776
act_fn,4800,1694.476
down_proj,4800,615.369
layernorm,4864,1064.711
qkv_proj,4864,2020.1009999999999
rotary_emb,4864,554.809
o_proj,4864,391.815
gate_up_proj,4864,3004.3149999999996
act_fn,4864,1692.395
down_proj,4864,610.92
layernorm,4928,1018.6300000000001
qkv_proj,4928,2231.913
rotary_emb,4928,515.348
o_proj,4928,405.946
gate_up_proj,4928,3280.2290000000003
act_fn,4928,1748.316
down_proj,4928,636.379
layernorm,4992,1058.056
qkv_proj,4992,2200.203
rotary_emb,4992,483.388
o_proj,4992,387.636
gate_up_proj,4992,3199.187
act_fn,4992,1749.856
down_proj,4992,642.26
layernorm,5056,1059.671
qkv_proj,5056,2530.2780000000002
rotary_emb,5056,562.649
o_proj,5056,723.651
gate_up_proj,5056,3381.071
act_fn,5056,1917.289
down_proj,5056,647.529
layernorm,5120,977.0894999999999
qkv_proj,5120,2231.823
rotary_emb,5120,494.567
o_proj,5120,381.545
gate_up_proj,5120,3263.999
act_fn,5120,1783.837
down_proj,5120,649.2
layernorm,5184,1120.672
qkv_proj,5184,2232.904
rotary_emb,5184,618.329
o_proj,5184,768.652
gate_up_proj,5184,3322.2389999999996
act_fn,5184,1854.958
down_proj,5184,659.31
layernorm,5248,1106.437
qkv_proj,5248,2235.213
rotary_emb,5248,855.453
o_proj,5248,555.308
gate_up_proj,5248,3294.1890000000003
act_fn,5248,1889.778
down_proj,5248,658.201
layernorm,5312,1139.8825000000002
qkv_proj,5312,2756.9910000000004
rotary_emb,5312,785.032
o_proj,5312,774.702
gate_up_proj,5312,3752.987
act_fn,5312,2031.96
down_proj,5312,698.101
layernorm,5376,1083.5965
qkv_proj,5376,2383.705
rotary_emb,5376,493.107
o_proj,5376,399.066
gate_up_proj,5376,3441.942
act_fn,5376,1866.767
down_proj,5376,678.42
layernorm,5440,1101.9215
qkv_proj,5440,2369.1549999999997
rotary_emb,5440,632.51
o_proj,5440,799.022
gate_up_proj,5440,3489.6220000000003
act_fn,5440,1940.119
down_proj,5440,687.99
layernorm,5504,1160.9025000000001
qkv_proj,5504,2353.775
rotary_emb,5504,873.773
o_proj,5504,563.069
gate_up_proj,5504,3431.572
act_fn,5504,1963.739
down_proj,5504,684.731
layernorm,5568,1151.8025
qkv_proj,5568,2503.688
rotary_emb,5568,666.17
o_proj,5568,489.278
gate_up_proj,5568,3667.744
act_fn,5568,1954.049
down_proj,5568,720.371
layernorm,5632,1156.1275
qkv_proj,5632,2455.397
rotary_emb,5632,461.797
o_proj,5632,407.616
gate_up_proj,5632,3598.694
act_fn,5632,1955.299
down_proj,5632,726.751
layernorm,5696,1169.0925
qkv_proj,5696,2903.033
rotary_emb,5696,607.939
o_proj,5696,781.381
gate_up_proj,5696,3826.057
act_fn,5696,2147.702
