prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,2,2048,87.7977
16,256,2,4096,147.509
16,256,2,8192,274.996
16,256,4,16,33.0237
16,256,4,32,32.885
16,256,4,64,32.9393
16,256,4,128,33.8027
16,256,4,256,43.8497
16,256,4,512,60.2877
16,256,4,1024,82.4637
16,256,4,2048,126.005
16,256,4,4096,229.674
16,256,4,8192,428.701
16,256,8,16,44.32
16,256,8,32,44.309
16,256,8,64,44.7137
16,256,8,128,46.4533
16,256,8,256,67.3707
16,256,8,512,91.594
16,256,8,1024,129.098
16,256,8,2048,222.591
16,256,8,4096,399.348
16,256,8,8192,772.297
16,256,16,16,67.3173
16,256,16,32,67.1997
16,256,16,64,68.6287
16,256,16,128,71.307
16,256,16,256,119.072
16,256,16,512,160.928
16,256,16,1024,246.591
16,256,16,2048,415.764
16,256,16,4096,734.153
16,256,16,8192,2072.22
16,256,32,16,115.584
16,256,32,32,116.405
16,256,32,64,119.072
16,256,32,128,123.156
16,256,32,256,226.378
16,256,32,512,343.903
16,256,32,1024,561.705
16,256,32,2048,974.162
16,256,32,4096,1914.38
16,256,32,8192,6197.36
16,512,0,0,28.3307
16,512,1,16,27.1253
16,512,1,32,26.9543
16,512,1,64,26.9657
16,512,1,128,27.0823
16,512,1,256,34.794
16,512,1,512,45.3967
16,512,1,1024,53.9623
16,512,1,2048,67.3913
16,512,1,4096,93.653
16,512,1,8192,143.156
16,512,2,16,27.0403
16,512,2,32,27.1363
16,512,2,64,26.933
16,512,2,128,27.136
16,512,2,256,35.9147
16,512,2,512,46.8797
16,512,2,1024,59.5307
16,512,2,2048,86.5807
16,512,2,4096,145.248
16,512,2,8192,275.754
16,512,4,16,37.1523
16,512,4,32,37.0237
16,512,4,64,37.8883
16,512,4,128,38.1547
16,512,4,256,51.4343
16,512,4,512,63.424
16,512,4,1024,82.3467
16,512,4,2048,124.395
16,512,4,4096,223.615
16,512,4,8192,427.529
16,512,8,16,48.8853
16,512,8,32,48.7353
16,512,8,64,49.4293
16,512,8,128,50.9223
16,512,8,256,73.5353
16,512,8,512,94.2293
16,512,8,1024,130.431
16,512,8,2048,218.687
16,512,8,4096,400.586
16,512,8,8192,772.488
16,512,16,16,73.4077
16,512,16,32,73.8663
16,512,16,64,74.5277
16,512,16,128,77.1837
16,512,16,256,121.376
16,512,16,512,165.173
16,512,16,1024,248.735
16,512,16,2048,416.137
16,512,16,4096,736.509
16,512,16,8192,2107.18
16,512,32,16,120.565
16,512,32,32,121.568
16,512,32,64,123.061
16,512,32,128,128.586
16,512,32,256,228.554
16,512,32,512,349.972
16,512,32,1024,569.098
16,512,32,2048,979.731
16,512,32,4096,1905.98
16,512,32,8192,6191.57
16,1024,0,0,35.829
16,1024,1,16,35.1997
16,1024,1,32,35.1787
16,1024,1,64,35.1787
16,1024,1,128,35.2
16,1024,1,256,41.5037
16,1024,1,512,54.0687
16,1024,1,1024,61.28
16,1024,1,2048,74.6667
16,1024,1,4096,101.461
16,1024,1,8192,151.776
16,1024,2,16,35.179
16,1024,2,32,35.189
16,1024,2,64,35.04
16,1024,2,128,35.4237
16,1024,2,256,42.8477
16,1024,2,512,54.197
16,1024,2,1024,62.7737
16,1024,2,2048,88.1277
16,1024,2,4096,146.709
16,1024,2,8192,275.562
16,1024,4,16,43.744
16,1024,4,32,44.096
16,1024,4,64,44.3407
16,1024,4,128,45.088
16,1024,4,256,63.05
16,1024,4,512,72.0107
16,1024,4,1024,87.3173
16,1024,4,2048,126.506
16,1024,4,4096,222.004
16,1024,4,8192,430.858
16,1024,8,16,59.6907
16,1024,8,32,59.1893
16,1024,8,64,60.2987
16,1024,8,128,61.0457
16,1024,8,256,85.6957
16,1024,8,512,104.406
16,1024,8,1024,136.203
16,1024,8,2048,221.483
16,1024,8,4096,404.222
16,1024,8,8192,774.194
16,1024,16,16,83.0723
16,1024,16,32,83.2637
16,1024,16,64,83.743
16,1024,16,128,86.314
16,1024,16,256,130.25
16,1024,16,512,169.482
16,1024,16,1024,255.787
16,1024,16,2048,421.663
16,1024,16,4096,740.617
16,1024,16,8192,2125.87
16,1024,32,16,130.837
16,1024,32,32,131.264
16,1024,32,64,132.714
16,1024,32,128,138.986
16,1024,32,256,235.156
16,1024,32,512,354.73
16,1024,32,1024,575.091
16,1024,32,2048,982.301
16,1024,32,4096,1898.73
16,1024,32,8192,6260.38
16,2048,0,0,50.1653
16,2048,1,16,49.728
16,2048,1,32,49.5037
16,2048,1,64,49.579
16,2048,1,128,49.9203
16,2048,1,256,55.1573
16,2048,1,512,66.603
16,2048,1,1024,75.1037
16,2048,1,2048,90.634
16,2048,1,4096,118.527
16,2048,1,8192,169.664
16,2048,2,16,49.675
16,2048,2,32,49.696
16,2048,2,64,49.408
16,2048,2,128,49.9947
16,2048,2,256,56.7677
16,2048,2,512,67.6807
16,2048,2,1024,76.779
16,2048,2,2048,92.757
16,2048,2,4096,148.842
16,2048,2,8192,271.327
16,2048,4,16,56.8853
16,2048,4,32,57.28
16,2048,4,64,57.2903
16,2048,4,128,59.0507
16,2048,4,256,78.229
16,2048,4,512,95.6587
16,2048,4,1024,110.282
16,2048,4,2048,133.184
16,2048,4,4096,223.146
16,2048,4,8192,422.986
16,2048,8,16,73.2587
16,2048,8,32,73.9407
16,2048,8,64,74.5813
16,2048,8,128,76.2453
16,2048,8,256,100.458
16,2048,8,512,125.653
16,2048,8,1024,156.565
16,2048,8,2048,233.29
16,2048,8,4096,403.114
16,2048,8,8192,768.329
16,2048,16,16,101.312
16,2048,16,32,101.408
16,2048,16,64,102.357
16,2048,16,128,104.447
16,2048,16,256,150.144
16,2048,16,512,188.629
16,2048,16,1024,266.228
16,2048,16,2048,433.811
16,2048,16,4096,750.771
16,2048,16,8192,2131.52
16,2048,32,16,149.578
16,2048,32,32,150.613
16,2048,32,64,151.658
16,2048,32,128,156.266
16,2048,32,256,256.106
16,2048,32,512,369.481
16,2048,32,1024,581.118
16,2048,32,2048,1000.44
16,2048,32,4096,1951.46
16,2048,32,8192,6196.69
16,4096,0,0,78.3467
16,4096,1,16,78.1227
16,4096,1,32,78.197
16,4096,1,64,78.2187
16,4096,1,128,77.856
16,4096,1,256,81.3013
16,4096,1,512,93.2903
16,4096,1,1024,101.514
16,4096,1,2048,118.325
16,4096,1,4096,151.285
16,4096,1,8192,204.554
16,4096,2,16,77.3437
16,4096,2,32,77.546
16,4096,2,64,77.6533
16,4096,2,128,77.8027
16,4096,2,256,83.3813
16,4096,2,512,93.9297
16,4096,2,1024,103.552
16,4096,2,2048,120.874
16,4096,2,4096,151.36
16,4096,2,8192,275.008
16,4096,4,16,83.2637
16,4096,4,32,83.1893
16,4096,4,64,83.669
16,4096,4,128,84.7143
16,4096,4,256,103.765
16,4096,4,512,122.836
16,4096,4,1024,146.57
16,4096,4,2048,186.356
16,4096,4,4096,232.382
16,4096,4,8192,417.225
16,4096,8,16,99.754
16,4096,8,32,100.395
16,4096,8,64,100.746
16,4096,8,128,102.496
16,4096,8,256,136.607
16,4096,8,512,155.69
16,4096,8,1024,192.938
16,4096,8,2048,281.279
16,4096,8,4096,405.631
16,4096,8,8192,753.736
16,4096,16,16,133.365
16,4096,16,32,133.44
16,4096,16,64,134.858
16,4096,16,128,137.738
16,4096,16,256,185.728
16,4096,16,512,228.309
16,4096,16,1024,312.469
16,4096,16,2048,461.406
16,4096,16,4096,774.493
16,4096,16,8192,2047.43
16,4096,32,16,183.349
16,4096,32,32,184.66
16,4096,32,64,186.432
16,4096,32,128,192.064
16,4096,32,256,295.124
16,4096,32,512,409.759
16,4096,32,1024,614.76
16,4096,32,2048,1009.07
16,4096,32,4096,2048.4
16,4096,32,8192,6332.49
16,8192,0,0,135.84
16,8192,1,16,134.965
16,8192,1,32,135.093
16,8192,1,64,135.274
16,8192,1,128,135.051
16,8192,1,256,134.911
16,8192,1,512,143.978
16,8192,1,1024,152.011
16,8192,1,2048,168.458
16,8192,1,4096,205.247
16,8192,1,8192,276.927
16,8192,2,16,134.805
16,8192,2,32,133.898
16,8192,2,64,133.888
16,8192,2,128,134.656
16,8192,2,256,134.751
16,8192,2,512,147.37
16,8192,2,1024,155.424
16,8192,2,2048,172.49
16,8192,2,4096,210.88
16,8192,2,8192,275.049
16,8192,4,16,134.709
16,8192,4,32,134.773
16,8192,4,64,135.189
16,8192,4,128,135.605
16,8192,4,256,154.41
16,8192,4,512,172.97
16,8192,4,1024,196.17
16,8192,4,2048,245.044
16,8192,4,4096,343.508
16,8192,4,8192,422.388
16,8192,8,16,150.741
16,8192,8,32,150.751
16,8192,8,64,151.423
16,8192,8,128,152.639
16,8192,8,256,186.996
16,8192,8,512,217.407
16,8192,8,1024,263.445
16,8192,8,2048,344.895
16,8192,8,4096,508.499
16,8192,8,8192,803.389
16,8192,16,16,184.246
16,8192,16,32,184.864
16,8192,16,64,185.994
16,8192,16,128,188.074
16,8192,16,256,253.461
16,8192,16,512,300.266
16,8192,16,1024,390.718
16,8192,16,2048,549.587
16,8192,16,4096,832.317
16,8192,16,8192,2115.11
16,8192,32,16,249.973
16,8192,32,32,251.551
16,8192,32,64,254.868
16,8192,32,128,266.399
16,8192,32,256,366.463
16,8192,32,512,484.19
16,8192,32,1024,681.256
16,8192,32,2048,1078.8
16,8192,32,4096,2063.69
16,8192,32,8192,6544.92
32,0,0,0,11.4347
32,0,1,16,16.9813
32,0,1,32,17.1097
32,0,1,64,17.1307
32,0,1,128,17.0877
32,0,1,256,22.613
32,0,1,512,26.8793
32,0,1,1024,35.5093
32,0,1,2048,49.941
32,0,1,4096,78.549
32,0,1,8192,134.485
32,0,2,16,17.3863
32,0,2,32,17.546
32,0,2,64,17.44
32,0,2,128,17.5357
32,0,2,256,28.9707
32,0,2,512,43.8187
32,0,2,1024,60.0213
32,0,2,2048,89.1197
32,0,2,4096,149.866
32,0,2,8192,276.362
32,0,4,16,23.019
32,0,4,32,23.2103
32,0,4,64,23.296
32,0,4,128,24.0107
32,0,4,256,41.2373
32,0,4,512,59.498
32,0,4,1024,83.6687
32,0,4,2048,129.856
32,0,4,4096,232.629
32,0,4,8192,431.401
32,0,8,16,34.8583
32,0,8,32,34.795
32,0,8,64,35.296
32,0,8,128,36.9173
32,0,8,256,64.4483
32,0,8,512,91.3813
32,0,8,1024,130.399
32,0,8,2048,224.927
32,0,8,4096,400.991
32,0,8,8192,780.425
32,0,16,16,62.6133
32,0,16,32,62.858
32,0,16,64,63.6053
32,0,16,128,65.376
32,0,16,256,113.226
32,0,16,512,156.927
32,0,16,1024,246.463
32,0,16,2048,415.573
32,0,16,4096,737.129
32,0,16,8192,2090.67
32,0,32,16,112.054
32,0,32,32,112.885
32,0,32,64,114.271
32,0,32,128,119.306
32,0,32,256,221.717
32,0,32,512,342.378
32,0,32,1024,563.401
32,0,32,2048,978.461
32,0,32,4096,1945.36
32,0,32,8192,6045.23
32,16,0,0,11.6693
32,16,1,16,17.2263
32,16,1,32,17.2583
32,16,1,64,17.3333
32,16,1,128,17.5677
32,16,1,256,22.7303
32,16,1,512,27.2427
32,16,1,1024,35.1783
32,16,1,2048,49.8873
32,16,1,4096,78.0157
32,16,1,8192,134.175
32,16,2,16,17.6963
32,16,2,32,17.7813
32,16,2,64,17.8237
32,16,2,128,18.304
32,16,2,256,28.8637
32,16,2,512,43.7017
32,16,2,1024,60.1277
32,16,2,2048,89.0983
32,16,2,4096,149.717
32,16,2,8192,276.66
32,16,4,16,23.4987
32,16,4,32,23.6697
32,16,4,64,23.8507
32,16,4,128,24.5863
32,16,4,256,40.736
32,16,4,512,60.522
32,16,4,1024,83.2637
32,16,4,2048,128.704
32,16,4,4096,231.402
32,16,4,8192,430.793
32,16,8,16,34.7197
32,16,8,32,34.9757
32,16,8,64,35.8393
32,16,8,128,37.781
32,16,8,256,63.9037
32,16,8,512,90.9223
32,16,8,1024,129.674
32,16,8,2048,224.831
32,16,8,4096,402.015
32,16,8,8192,781.533
32,16,16,16,62.6347
32,16,16,32,63.274
32,16,16,64,63.9463
32,16,16,128,66.6127
32,16,16,256,113.898
32,16,16,512,157.023
32,16,16,1024,245.13
32,16,16,2048,416.212
32,16,16,4096,738.067
32,16,16,8192,2101.32
32,16,32,16,112.224
32,16,32,32,113.077
32,16,32,64,114.976
32,16,32,128,119.904
32,16,32,256,220.82
32,16,32,512,342.378
32,16,32,1024,562.335
32,16,32,2048,978.888
32,16,32,4096,1944.69
32,16,32,8192,6185.48
32,32,0,0,11.7657
32,32,1,16,17.3227
32,32,1,32,17.3437
32,32,1,64,17.472
32,32,1,128,17.7497
32,32,1,256,22.7517
32,32,1,512,27.2213
32,32,1,1024,35.4133
32,32,1,2048,49.5147
32,32,1,4096,78.3993
32,32,1,8192,134.655
32,32,2,16,17.6743
32,32,2,32,17.6743
32,32,2,64,17.814
32,32,2,128,18.421
32,32,2,256,28.9057
32,32,2,512,43.3483
32,32,2,1024,59.7007
32,32,2,2048,89.0983
32,32,2,4096,149.93
32,32,2,8192,276.458
32,32,4,16,23.4353
32,32,4,32,23.638
32,32,4,64,23.8183
32,32,4,128,24.9597
32,32,4,256,41.13
32,32,4,512,59.317
32,32,4,1024,83.3383
32,32,4,2048,130.101
32,32,4,4096,231.541
32,32,4,8192,431.199
32,32,8,16,35.1037
32,32,8,32,34.9867
32,32,8,64,35.9787
32,32,8,128,37.7813
32,32,8,256,64.512
32,32,8,512,91.9363
32,32,8,1024,130.133
32,32,8,2048,225.525
32,32,8,4096,402.175
32,32,8,8192,773.97
32,32,16,16,63.285
32,32,16,32,62.6987
32,32,16,64,63.9253
32,32,16,128,66.5167
32,32,16,256,113.962
32,32,16,512,156.415
32,32,16,1024,245.568
32,32,16,2048,414.836
32,32,16,4096,736.266
32,32,16,8192,2081.04
32,32,32,16,112.533
32,32,32,32,113.056
32,32,32,64,114.795
32,32,32,128,120.447
32,32,32,256,221.14
32,32,32,512,342.581
32,32,32,1024,562.014
32,32,32,2048,975.731
32,32,32,4096,1937.45
32,32,32,8192,6132.56
32,64,0,0,11.734
32,64,1,16,17.3333
32,64,1,32,17.4083
32,64,1,64,17.6003
32,64,1,128,17.856
32,64,1,256,22.837
32,64,1,512,27.179
32,64,1,1024,35.1997
32,64,1,2048,49.8877
32,64,1,4096,78.709
32,64,1,8192,134.57
32,64,2,16,17.7493
32,64,2,32,17.781
32,64,2,64,18.069
32,64,2,128,18.4853
32,64,2,256,28.8853
32,64,2,512,43.9683
32,64,2,1024,59.6157
32,64,2,2048,89.109
32,64,2,4096,149.898
32,64,2,8192,277.823
32,64,4,16,23.4243
32,64,4,32,23.6373
32,64,4,64,24.1277
32,64,4,128,24.928
32,64,4,256,41.024
32,64,4,512,59.9463
32,64,4,1024,83.242
32,64,4,2048,128.821
32,64,4,4096,232.927
32,64,4,8192,430.74
32,64,8,16,34.9977
32,64,8,32,35.4023
32,64,8,64,36.3413
32,64,8,128,37.867
32,64,8,256,64.2773
32,64,8,512,90.997
32,64,8,1024,130.154
32,64,8,2048,224.511
32,64,8,4096,402.335
32,64,8,8192,774.099
32,64,16,16,62.8583
32,64,16,32,63.3173
32,64,16,64,64.3407
32,64,16,128,67.2637
32,64,16,256,113.984
32,64,16,512,156.16
32,64,16,1024,244.554
32,64,16,2048,414.943
32,64,16,4096,736.639
32,64,16,8192,2060.37
32,64,32,16,112.202
32,64,32,32,113.034
32,64,32,64,115.264
32,64,32,128,120.704
32,64,32,256,221.887
32,64,32,512,341.813
32,64,32,1024,562.495
32,64,32,2048,979.111
32,64,32,4096,1944.55
32,64,32,8192,6174.86
32,128,0,0,12.128
32,128,1,16,17.6423
32,128,1,32,17.888
32,128,1,64,17.8667
32,128,1,128,18.1553
32,128,1,256,23.1997
32,128,1,512,27.3273
32,128,1,1024,35.744
32,128,1,2048,50.0153
