layer,tokens,time_us
rotary_emb,3968,652.635
o_proj,3968,507.402
gate_up_proj,3968,3962.562
act_fn,3968,2910.727
down_proj,3968,939.111
layernorm,4032,1060.17
qkv_proj,4032,2221.5719999999997
rotary_emb,4032,528.723
o_proj,4032,531.362
gate_up_proj,4032,3987.0020000000004
act_fn,4032,2858.747
down_proj,4032,963.512
layernorm,4096,1055.9245
qkv_proj,4096,2159.111
rotary_emb,4096,533.502
o_proj,4096,508.092
gate_up_proj,4096,4069.7340000000004
act_fn,4096,2932.629
down_proj,4096,1595.007
layernorm,4160,1082.665
qkv_proj,4160,2332.014
rotary_emb,4160,563.634
o_proj,4160,549.963
gate_up_proj,4160,4130.975
act_fn,4160,2936.319
down_proj,4160,984.963
layernorm,4224,1079.2549999999999
qkv_proj,4224,2301.204
rotary_emb,4224,566.373
o_proj,4224,503.952
gate_up_proj,4224,4294.33
act_fn,4224,3037.201
down_proj,4224,1010.103
layernorm,4288,1159.857
qkv_proj,4288,2514.948
rotary_emb,4288,1001.303
o_proj,4288,828.369
gate_up_proj,4288,4517.105
act_fn,4288,3223.886
down_proj,4288,1010.643
layernorm,4352,1077.3094999999998
qkv_proj,4352,2256.563
rotary_emb,4352,638.455
o_proj,4352,505.532
gate_up_proj,4352,4214.939
act_fn,4352,3025.95
down_proj,4352,1033.034
layernorm,4416,1142.3065000000001
qkv_proj,4416,2405.946
rotary_emb,4416,672.086
o_proj,4416,610.424
gate_up_proj,4416,4433.773
act_fn,4416,3109.083
down_proj,4416,1067.815
layernorm,4480,1149.067
qkv_proj,4480,2369.5860000000002
rotary_emb,4480,588.244
o_proj,4480,522.032
gate_up_proj,4480,4431.714
act_fn,4480,3203.385
down_proj,4480,1076.505
layernorm,4544,1196.913
qkv_proj,4544,4715.52
rotary_emb,4544,1044.555
o_proj,4544,862.86
gate_up_proj,4544,11143.621000000001
act_fn,4544,9696.066
down_proj,4544,1074.265
layernorm,4608,1200.868
qkv_proj,4608,4616.688
rotary_emb,4608,597.094
o_proj,4608,523.512
gate_up_proj,4608,10872.614
act_fn,4608,9544.132
down_proj,4608,1065.645
layernorm,4672,1234.349
qkv_proj,4672,4092.1850000000004
rotary_emb,4672,1055.835
o_proj,4672,834.949
gate_up_proj,4672,8911.698
act_fn,4672,7554.525
down_proj,4672,1085.285
layernorm,4736,1194.883
qkv_proj,4736,4345.721
rotary_emb,4736,778.767
o_proj,4736,563.002
gate_up_proj,4736,9774.577
act_fn,4736,8482.528
down_proj,4736,1117.606
layernorm,4800,1351.9765
qkv_proj,4800,2579.62
rotary_emb,4800,648.775
o_proj,4800,617.534
gate_up_proj,4800,4854.013
act_fn,4800,3430.85
down_proj,4800,1107.615
layernorm,4864,1287.2305000000001
qkv_proj,4864,2477.278
rotary_emb,4864,695.746
o_proj,4864,547.793
gate_up_proj,4864,4619.498
act_fn,4864,3324.277
down_proj,4864,1131.936
layernorm,4928,1255.319
qkv_proj,4928,2695.702
rotary_emb,4928,635.135
o_proj,4928,615.114
gate_up_proj,4928,5056.038
act_fn,4928,3506.411
down_proj,4928,1137.516
layernorm,4992,1299.101
qkv_proj,4992,2668.722
rotary_emb,4992,647.655
o_proj,4992,557.993
gate_up_proj,4992,4974.536
act_fn,4992,3531.972
down_proj,4992,1150.927
layernorm,5056,1300.91
qkv_proj,5056,2979.56
rotary_emb,5056,1121.846
o_proj,5056,914.811
gate_up_proj,5056,5081.127
act_fn,5056,3629.314
down_proj,5056,1168.436
layernorm,5120,1318.1755
qkv_proj,5120,2670.873
rotary_emb,5120,663.955
o_proj,5120,566.553
gate_up_proj,5120,5046.356
act_fn,5120,3558.672
down_proj,5120,1191.697
layernorm,5184,1334.8865
qkv_proj,5184,2714.7940000000003
rotary_emb,5184,663.116
o_proj,5184,596.354
gate_up_proj,5184,5071.737999999999
act_fn,5184,3602.994
down_proj,5184,1201.488
layernorm,5248,1387.767
qkv_proj,5248,2737.274
rotary_emb,5248,866.08
o_proj,5248,621.914
gate_up_proj,5248,5147.32
act_fn,5248,3731.047
down_proj,5248,1231.019
embedding,1,230.904
final_layernorm,1,297.336
embedding,64,229.764
final_layernorm,64,296.056
embedding,128,231.665
final_layernorm,128,295.425
embedding,192,236.414
final_layernorm,192,315.356
embedding,256,252.005
final_layernorm,256,324.056
embedding,320,241.174
final_layernorm,320,316.356
embedding,384,240.985
final_layernorm,384,326.776
embedding,448,246.645
final_layernorm,448,321.756
embedding,512,248.785
final_layernorm,512,317.756
embedding,576,242.154
final_layernorm,576,320.215
embedding,640,241.984
final_layernorm,640,317.885
embedding,704,245.414
final_layernorm,704,316.476
embedding,768,249.804
final_layernorm,768,315.986
embedding,832,264.575
final_layernorm,832,335.246
embedding,896,255.715
final_layernorm,896,332.216
embedding,960,255.105
final_layernorm,960,336.476
embedding,1024,248.825
final_layernorm,1024,331.566
embedding,1088,256.045
final_layernorm,1088,332.416
embedding,1152,259.245
final_layernorm,1152,333.876
embedding,1216,257.685
final_layernorm,1216,333.426
embedding,1280,257.925
final_layernorm,1280,337.636
embedding,1344,269.545
final_layernorm,1344,349.237
embedding,1408,281.535
final_layernorm,1408,355.706
embedding,1472,280.395
final_layernorm,1472,366.307
embedding,1536,281.185
final_layernorm,1536,359.667
embedding,1600,267.235
final_layernorm,1600,339.716
embedding,1664,273.895
final_layernorm,1664,359.927
embedding,1728,262.765
final_layernorm,1728,349.146
embedding,1792,274.675
final_layernorm,1792,347.156
embedding,1856,266.814
final_layernorm,1856,346.616
embedding,1920,313.756
final_layernorm,1920,370.137
embedding,1984,400.087
final_layernorm,1984,361.347
embedding,2048,348.497
final_layernorm,2048,350.766
embedding,2112,418.098
final_layernorm,2112,372.917
embedding,2176,377.747
final_layernorm,2176,360.287
embedding,2240,451.188
final_layernorm,2240,366.056
embedding,2304,445.548
final_layernorm,2304,390.317
embedding,2368,472.839
final_layernorm,2368,363.376
embedding,2432,472.299
final_layernorm,2432,372.037
embedding,2496,544.07
final_layernorm,2496,368.777
embedding,2560,558.65
final_layernorm,2560,345.457
embedding,2624,579.61
final_layernorm,2624,353.527
embedding,2688,564.21
final_layernorm,2688,361.427
embedding,2752,618.242
final_layernorm,2752,354.737
embedding,2816,616.551
final_layernorm,2816,392.187
embedding,2880,625.241
final_layernorm,2880,365.077
embedding,2944,634.371
final_layernorm,2944,369.687
embedding,3008,747.744
final_layernorm,3008,385.708
embedding,3072,718.193
final_layernorm,3072,366.327
embedding,3136,711.443
final_layernorm,3136,342.826
embedding,3200,665.982
final_layernorm,3200,370.227
embedding,3264,801.855
final_layernorm,3264,384.528
embedding,3328,769.714
final_layernorm,3328,362.807
embedding,3392,824.276
final_layernorm,3392,374.007
embedding,3456,804.635
final_layernorm,3456,386.037
embedding,3520,848.046
final_layernorm,3520,378.357
embedding,3584,863.076
final_layernorm,3584,389.438
embedding,3648,818.016
final_layernorm,3648,339.917
embedding,3712,797.225
final_layernorm,3712,419.738
embedding,3776,944.078
final_layernorm,3776,346.946
embedding,3840,920.037
final_layernorm,3840,353.116
embedding,3904,824.285
final_layernorm,3904,354.387
embedding,3968,835.225
final_layernorm,3968,390.007
embedding,4032,904.567
final_layernorm,4032,381.957
embedding,4096,883.826
final_layernorm,4096,372.057
embedding,4160,1003.439
final_layernorm,4160,392.198
embedding,4224,969.158
final_layernorm,4224,392.357
embedding,4288,944.088
final_layernorm,4288,381.537
embedding,4352,920.537
final_layernorm,4352,420.728
embedding,4416,998.698
final_layernorm,4416,387.437
embedding,4480,986.008
final_layernorm,4480,403.128
embedding,4544,1147.761
final_layernorm,4544,394.427
embedding,4608,1115.431
final_layernorm,4608,352.756
embedding,4672,1031.449
final_layernorm,4672,398.328
embedding,4736,1016.109
final_layernorm,4736,343.886
embedding,4800,1029.249
final_layernorm,4800,395.617
embedding,4864,1008.449
final_layernorm,4864,372.057
embedding,4928,1191.602
final_layernorm,4928,397.257
embedding,4992,1153.781
final_layernorm,4992,364.637
embedding,5056,1182.661
final_layernorm,5056,379.376
embedding,5120,1167.712
final_layernorm,5120,383.978
embedding,5184,1124.761
final_layernorm,5184,367.897
embedding,5248,1113.14
final_layernorm,5248,386.077
