prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,128,8,16,42.8797
16,128,8,32,42.9763
16,128,8,64,43.1047
16,128,8,128,43.968
16,128,8,256,74.955
16,128,8,512,108.279
16,128,8,1024,160.855
16,128,8,2048,261.709
16,128,8,4096,459.459
16,128,8,8192,856.379
16,128,16,16,69.206
16,128,16,32,69.4087
16,128,16,64,69.729
16,128,16,128,70.7313
16,128,16,256,127.713
16,128,16,512,182.401
16,128,16,1024,275.181
16,128,16,2048,453.081
16,128,16,4096,800.357
16,128,16,8192,1497.96
16,128,32,16,128.972
16,128,32,32,129.025
16,128,32,64,129.537
16,128,32,128,131.553
16,128,32,256,239.574
16,128,32,512,350.05
16,128,32,1024,551.087
16,128,32,2048,919.387
16,128,32,4096,1640.15
16,128,32,8192,3794.56
16,256,0,0,26.123
16,256,1,16,24.3843
16,256,1,32,24.4163
16,256,1,64,24.363
16,256,1,128,24.6397
16,256,1,256,25.952
16,256,1,512,34.166
16,256,1,1024,47.3393
16,256,1,2048,72.0647
16,256,1,4096,121.42
16,256,1,8192,220.748
16,256,2,16,32.5867
16,256,2,32,32.662
16,256,2,64,32.651
16,256,2,128,33.0027
16,256,2,256,43.755
16,256,2,512,51.6587
16,256,2,1024,63.5947
16,256,2,2048,87.9473
16,256,2,4096,136.534
16,256,2,8192,234.721
16,256,4,16,41.6643
16,256,4,32,41.536
16,256,4,64,41.92
16,256,4,128,42.0053
16,256,4,256,44.7047
16,256,4,512,60.438
16,256,4,1024,86.2513
16,256,4,2048,136.053
16,256,4,4096,236.61
16,256,4,8192,436.899
16,256,8,16,50.059
16,256,8,32,49.8567
16,256,8,64,50.1653
16,256,8,128,51.0823
16,256,8,256,78.2617
16,256,8,512,107.468
16,256,8,1024,158.134
16,256,8,2048,259.137
16,256,8,4096,458.339
16,256,8,8192,854.107
16,256,16,16,76.747
16,256,16,32,76.9073
16,256,16,64,77.0777
16,256,16,128,78.262
16,256,16,256,130.507
16,256,16,512,180.588
16,256,16,1024,272.439
16,256,16,2048,457.603
16,256,16,4096,806.886
16,256,16,8192,1502.87
16,256,32,16,135.852
16,256,32,32,136.032
16,256,32,64,136.588
16,256,32,128,138.582
16,256,32,256,248.972
16,256,32,512,360.238
16,256,32,1024,578.532
16,256,32,2048,987.964
16,256,32,4096,1813.68
16,256,32,8192,4198.11
16,512,0,0,36.0533
16,512,1,16,34.1753
16,512,1,32,34.4433
16,512,1,64,34.3573
16,512,1,128,34.3357
16,512,1,256,34.1233
16,512,1,512,36.5117
16,512,1,1024,47.84
16,512,1,2048,72.7793
16,512,1,4096,122.23
16,512,1,8192,221.452
16,512,2,16,39.4567
16,512,2,32,39.1897
16,512,2,64,39.478
16,512,2,128,39.713
16,512,2,256,50.4963
16,512,2,512,61.9093
16,512,2,1024,74.891
16,512,2,2048,100.043
16,512,2,4096,149.217
16,512,2,8192,246.957
16,512,4,16,47.3287
16,512,4,32,47.936
16,512,4,64,47.7653
16,512,4,128,48.1923
16,512,4,256,58.8483
16,512,4,512,63.4457
16,512,4,1024,86.464
16,512,4,2048,135.83
16,512,4,4096,236.279
16,512,4,8192,437.613
16,512,8,16,61.462
16,512,8,32,61.5573
16,512,8,64,61.611
16,512,8,128,62.027
16,512,8,256,84.662
16,512,8,512,111.212
16,512,8,1024,158.209
16,512,8,2048,257.687
16,512,8,4096,459.982
16,512,8,8192,858.801
16,512,16,16,90.0173
16,512,16,32,89.974
16,512,16,64,90.5607
16,512,16,128,91.553
16,512,16,256,136.822
16,512,16,512,185.238
16,512,16,1024,270.317
16,512,16,2048,457.176
16,512,16,4096,824.517
16,512,16,8192,1547.96
16,512,32,16,143.062
16,512,32,32,143.03
16,512,32,64,143.617
16,512,32,128,145.868
16,512,32,256,248.844
16,512,32,512,371.629
16,512,32,1024,573.933
16,512,32,2048,1012.26
16,512,32,4096,1999.67
16,512,32,8192,4320.74
16,1024,0,0,48.3947
16,1024,1,16,47.233
16,1024,1,32,47.2007
16,1024,1,64,47.1683
16,1024,1,128,47.126
16,1024,1,256,46.9123
16,1024,1,512,47.6807
16,1024,1,1024,49.014
16,1024,1,2048,73.4507
16,1024,1,4096,123.115
16,1024,1,8192,222.69
16,1024,2,16,51.68
